# x f gf ggf gggf
   -72.072 -2.111e-02  6.709e-03  1.558e-03  2.088e-04
   -70.871 -1.278e-02  8.743e-03  1.810e-03  1.946e-04
   -69.670 -2.504e-03  1.107e-02  2.039e-03  1.710e-04
   -68.468  1.010e-02  1.365e-02  2.236e-03  1.395e-04
   -67.267  2.564e-02  1.645e-02  2.392e-03  1.013e-04
   -66.066  4.487e-02  1.940e-02  2.499e-03  5.712e-05
   -64.865  6.849e-02  2.246e-02  2.550e-03  8.006e-06
   -63.664  9.697e-02  2.553e-02  2.541e-03 -4.442e-05
   -62.462  1.304e-01  2.856e-02  2.468e-03 -9.784e-05
   -61.261  1.687e-01  3.147e-02  2.333e-03 -1.496e-04
   -60.060  2.112e-01  3.418e-02  2.138e-03 -1.973e-04
   -58.859  2.574e-01  3.662e-02  1.888e-03 -2.396e-04
   -57.658  3.066e-01  3.873e-02  1.592e-03 -2.765e-04
   -56.456  3.583e-01  4.046e-02  1.253e-03 -3.089e-04
   -55.255  4.119e-01  4.176e-02  8.780e-04 -3.385e-04
   -54.054  4.671e-01  4.258e-02  4.675e-04 -3.668e-04
   -52.853  5.234e-01  4.290e-02  2.293e-05 -3.946e-04
   -51.652  5.802e-01  4.265e-02 -4.551e-04 -4.216e-04
   -50.450  6.370e-01  4.182e-02 -9.648e-04 -4.460e-04
   -49.249  6.929e-01  4.035e-02 -1.502e-03 -4.651e-04
   -48.048  7.472e-01  3.823e-02 -2.057e-03 -4.750e-04
   -46.847  7.988e-01  3.543e-02 -2.617e-03 -4.713e-04
   -45.646  8.468e-01  3.197e-02 -3.163e-03 -4.495e-04
   -44.444  8.902e-01  2.788e-02 -3.670e-03 -4.056e-04
   -43.243  9.278e-01  2.321e-02 -4.110e-03 -3.365e-04
   -42.042  9.585e-01  1.807e-02 -4.453e-03 -2.413e-04
   -40.841  9.813e-01  1.259e-02 -4.666e-03 -1.215e-04
   -39.640  9.954e-01  6.950e-03 -4.723e-03  1.839e-05
   -38.438  1.000e+00  1.346e-03 -4.604e-03  1.707e-04
   -37.237  9.950e-01 -4.005e-03 -4.301e-03  3.250e-04
   -36.036  9.807e-01 -8.880e-03 -3.817e-03  4.695e-04
   -34.835  9.580e-01 -1.307e-02 -3.173e-03  5.919e-04
   -33.634  9.285e-01 -1.641e-02 -2.400e-03  6.812e-04
   -32.432  8.939e-01 -1.877e-02 -1.546e-03  7.295e-04
   -31.231  8.567e-01 -2.007e-02 -6.605e-04  7.324e-04
   -30.030  8.192e-01 -2.032e-02  2.000e-04  6.902e-04
   -28.829  7.835e-01 -1.957e-02  9.838e-04  6.071e-04
   -27.628  7.515e-01 -1.795e-02  1.646e-03  4.903e-04
   -26.426  7.246e-01 -1.563e-02  2.151e-03  3.494e-04
   -25.225  7.037e-01 -1.281e-02  2.476e-03  1.944e-04
   -24.024  6.890e-01 -9.709e-03  2.611e-03  3.511e-05
   -22.823  6.806e-01 -6.561e-03  2.555e-03 -1.194e-04
   -21.622  6.781e-01 -3.590e-03  2.320e-03 -2.612e-04
   -20.420  6.811e-01 -1.001e-03  1.925e-03 -3.830e-04
   -19.219  6.888e-01  1.031e-03  1.398e-03 -4.788e-04
   -18.018  7.001e-01  2.367e-03  7.731e-04 -5.432e-04
   -16.817  7.136e-01  2.913e-03  9.149e-05 -5.725e-04
   -15.616  7.278e-01  2.627e-03 -6.036e-04 -5.649e-04
   -14.414  7.408e-01  1.519e-03 -1.268e-03 -5.218e-04
   -13.213  7.508e-01 -3.495e-04 -1.862e-03 -4.473e-04
   -12.012  7.561e-01 -2.873e-03 -2.351e-03 -3.485e-04
   -10.811  7.556e-01 -5.908e-03 -2.711e-03 -2.347e-04
    -9.610  7.485e-01 -9.294e-03 -2.930e-03 -1.157e-04
    -8.408  7.349e-01 -1.286e-02 -3.008e-03 -6.818e-07
    -7.207  7.151e-01 -1.644e-02 -2.954e-03  1.029e-04
    -6.006  6.897e-01 -1.988e-02 -2.784e-03  1.905e-04
    -4.805  6.595e-01 -2.306e-02 -2.521e-03  2.599e-04
    -3.604  6.253e-01 -2.588e-02 -2.185e-03  3.111e-04
    -2.402  5.876e-01 -2.827e-02 -1.798e-03  3.454e-04
    -1.201  5.472e-01 -3.016e-02 -1.379e-03  3.644e-04
     0.000  5.046e-01 -3.155e-02 -9.458e-04  3.696e-04
     1.201  4.604e-01 -3.241e-02 -5.142e-04  3.625e-04
     2.402  4.155e-01 -3.277e-02 -9.815e-05  3.445e-04
     3.604  3.708e-01 -3.264e-02  2.903e-04  3.172e-04
     4.805  3.272e-01 -3.206e-02  6.413e-04  2.830e-04
     6.006  2.855e-01 -3.109e-02  9.485e-04  2.450e-04
     7.207  2.462e-01 -2.978e-02  1.209e-03  2.061e-04
     8.408  2.094e-01 -2.818e-02  1.423e-03  1.687e-04
     9.610  1.754e-01 -2.635e-02  1.594e-03  1.342e-04
    10.811  1.440e-01 -2.434e-02  1.726e-03  1.023e-04
    12.012  1.151e-01 -2.220e-02  1.820e-03  7.148e-05
    13.213  8.885e-02 -1.996e-02  1.876e-03  3.945e-05
    14.414  6.532e-02 -1.768e-02  1.893e-03  4.184e-06
    15.616  4.486e-02 -1.541e-02  1.866e-03 -3.507e-05
    16.817  2.779e-02 -1.320e-02  1.789e-03 -7.710e-05
    18.018  1.438e-02 -1.111e-02  1.663e-03 -1.186e-04
    19.219  4.606e-03 -9.205e-03  1.490e-03 -1.548e-04
    20.420 -1.851e-03 -7.530e-03  1.280e-03 -1.802e-04
    21.622 -5.674e-03 -6.123e-03  1.049e-03 -1.905e-04
    22.823 -7.787e-03 -4.996e-03  8.172e-04 -1.833e-04
    24.024 -9.184e-03 -4.138e-03  6.049e-04 -1.589e-04
    25.225 -1.073e-02 -3.515e-03  4.317e-04 -1.204e-04
    26.426 -1.299e-02 -3.069e-03  3.116e-04 -7.292e-05
    27.628 -1.619e-02 -2.732e-03  2.515e-04 -2.269e-05
    28.829 -2.021e-02 -2.431e-03  2.513e-04  2.454e-05
    30.030 -2.466e-02 -2.097e-03  3.046e-04  6.437e-05
    31.231 -2.908e-02 -1.673e-03  4.007e-04  9.436e-05
    32.432 -3.298e-02 -1.113e-03  5.273e-04  1.140e-04
    33.634 -3.597e-02 -3.896e-04  6.724e-04  1.241e-04
    34.835 -3.778e-02  5.142e-04  8.255e-04  1.264e-04
    36.036 -3.825e-02  1.602e-03  9.779e-04  1.222e-04
    37.237 -3.725e-02  2.870e-03  1.122e-03  1.123e-04
    38.438 -3.465e-02  4.303e-03  1.252e-03  9.670e-05
    39.640 -3.026e-02  5.879e-03  1.360e-03  7.486e-05
    40.841 -2.377e-02  7.568e-03  1.438e-03  4.634e-05
    42.042 -1.483e-02  9.329e-03  1.478e-03  1.131e-05
    43.243 -3.089e-03  1.111e-02  1.472e-03 -2.894e-05
    44.444  1.168e-02  1.286e-02  1.417e-03 -7.191e-05
    45.646  2.950e-02  1.451e-02  1.311e-03 -1.140e-04
    46.847  5.016e-02  1.600e-02  1.157e-03 -1.511e-04
    48.048  7.328e-02  1.729e-02  9.641e-04 -1.790e-04
    49.249  9.828e-02  1.832e-02  7.452e-04 -1.944e-04
    50.450  1.246e-01  1.909e-02  5.171e-04 -1.950e-04
    51.652  1.515e-01  1.959e-02  2.977e-04 -1.805e-04
    52.853  1.784e-01  1.983e-02  1.046e-04 -1.522e-04
    54.054  2.048e-01  1.987e-02 -4.734e-05 -1.133e-04
    55.255  2.302e-01  1.976e-02 -1.484e-04 -6.876e-05
    56.456  2.543e-01  1.956e-02 -1.950e-04 -2.420e-05
    57.658  2.769e-01  1.933e-02 -1.910e-04  1.434e-05
    58.859  2.984e-01  1.913e-02 -1.469e-04  4.153e-05
    60.060  3.190e-01  1.901e-02 -7.886e-05  5.359e-05
    61.261  3.394e-01  1.897e-02 -6.353e-06  4.895e-05
    62.462  3.602e-01  1.901e-02  5.076e-05  2.850e-05
    63.664  3.819e-01  1.910e-02  7.509e-05 -4.615e-06
    64.865  4.049e-01  1.919e-02  5.406e-05 -4.564e-05
    66.066  4.292e-01  1.923e-02 -1.871e-05 -8.917e-05
    67.267  4.544e-01  1.915e-02 -1.432e-04 -1.302e-04
    68.468  4.802e-01  1.889e-02 -3.142e-04 -1.649e-04
    69.670  5.059e-01  1.840e-02 -5.224e-04 -1.910e-04
    70.871  5.310e-01  1.764e-02 -7.574e-04 -2.080e-04
    72.072  5.548e-01  1.659e-02 -1.008e-03 -2.166e-04
    73.273  5.771e-01  1.524e-02 -1.266e-03 -2.180e-04
    74.474  5.974e-01  1.357e-02 -1.523e-03 -2.135e-04
    75.676  6.155e-01  1.160e-02 -1.772e-03 -2.040e-04
    76.877  6.311e-01  9.343e-03 -2.007e-03 -1.895e-04
    78.078  6.436e-01  6.809e-03 -2.223e-03 -1.697e-04
    79.279  6.528e-01  4.032e-03 -2.412e-03 -1.438e-04
    80.480  6.582e-01  1.047e-03 -2.567e-03 -1.109e-04
    81.682  6.594e-01 -2.099e-03 -2.678e-03 -7.053e-05
    82.883  6.561e-01 -5.348e-03 -2.737e-03 -2.263e-05
    84.084  6.481e-01 -8.631e-03 -2.735e-03  3.207e-05
    85.285  6.354e-01 -1.187e-02 -2.664e-03  9.196e-05
    86.486  6.178e-01 -1.498e-02 -2.520e-03  1.546e-04
    87.688  5.955e-01 -1.788e-02 -2.301e-03  2.166e-04
    88.889  5.688e-01 -2.046e-02 -2.010e-03  2.742e-04
    90.090  5.381e-01 -2.266e-02 -1.655e-03  3.232e-04
    91.291  5.041e-01 -2.440e-02 -1.249e-03  3.599e-04
    92.492  4.677e-01 -2.562e-02 -8.086e-04  3.810e-04
    93.694  4.298e-01 -2.631e-02 -3.530e-04  3.849e-04
    94.895  3.916e-01 -2.645e-02  9.635e-05  3.713e-04
    96.096  3.540e-01 -2.607e-02  5.192e-04  3.415e-04
    97.297  3.180e-01 -2.520e-02  8.975e-04  2.981e-04
    98.498  2.844e-01 -2.391e-02  1.217e-03  2.449e-04
    99.700  2.536e-01 -2.227e-02  1.469e-03  1.859e-04
   100.901  2.261e-01 -2.038e-02  1.649e-03  1.251e-04
   102.102  2.020e-01 -1.832e-02  1.756e-03  6.624e-05
   103.303  1.813e-01 -1.617e-02  1.795e-03  1.205e-05
   104.505  1.639e-01 -1.400e-02  1.773e-03 -3.533e-05
   105.706  1.497e-01 -1.190e-02  1.699e-03 -7.460e-05
   106.907  1.385e-01 -9.915e-03  1.583e-03 -1.051e-04
   108.108  1.300e-01 -8.087e-03  1.437e-03 -1.268e-04
   109.309  1.238e-01 -6.449e-03  1.269e-03 -1.399e-04
   110.511  1.195e-01 -5.019e-03  1.092e-03 -1.451e-04
   111.712  1.166e-01 -3.805e-03  9.126e-04 -1.432e-04
   112.913  1.142e-01 -2.804e-03  7.400e-04 -1.351e-04
