# x f gf ggf gggf
   -72.072 -2.111e-02  6.710e-03  1.559e-03  2.089e-04
   -70.871 -1.278e-02  8.744e-03  1.811e-03  1.947e-04
   -69.670 -2.504e-03  1.107e-02  2.040e-03  1.711e-04
   -68.468  1.010e-02  1.365e-02  2.237e-03  1.396e-04
   -67.267  2.564e-02  1.645e-02  2.393e-03  1.014e-04
   -66.066  4.487e-02  1.941e-02  2.500e-03  5.716e-05
   -64.865  6.849e-02  2.246e-02  2.551e-03  8.020e-06
   -63.664  9.697e-02  2.554e-02  2.542e-03 -4.444e-05
   -62.462  1.304e-01  2.857e-02  2.469e-03 -9.788e-05
   -61.261  1.687e-01  3.147e-02  2.334e-03 -1.496e-04
   -60.060  2.112e-01  3.418e-02  2.138e-03 -1.974e-04
   -58.859  2.574e-01  3.662e-02  1.889e-03 -2.398e-04
   -57.658  3.066e-01  3.873e-02  1.592e-03 -2.766e-04
   -56.456  3.583e-01  4.046e-02  1.254e-03 -3.091e-04
   -55.255  4.119e-01  4.176e-02  8.782e-04 -3.387e-04
   -54.054  4.671e-01  4.259e-02  4.676e-04 -3.670e-04
   -52.853  5.234e-01  4.290e-02  2.291e-05 -3.948e-04
   -51.652  5.802e-01  4.266e-02 -4.553e-04 -4.218e-04
   -50.450  6.370e-01  4.182e-02 -9.651e-04 -4.462e-04
   -49.249  6.929e-01  4.036e-02 -1.502e-03 -4.653e-04
   -48.048  7.472e-01  3.824e-02 -2.058e-03 -4.752e-04
   -46.847  7.988e-01  3.544e-02 -2.618e-03 -4.715e-04
   -45.646  8.468e-01  3.198e-02 -3.164e-03 -4.498e-04
   -44.444  8.902e-01  2.788e-02 -3.671e-03 -4.058e-04
   -43.243  9.278e-01  2.321e-02 -4.112e-03 -3.367e-04
   -42.042  9.585e-01  1.807e-02 -4.454e-03 -2.414e-04
   -40.841  9.813e-01  1.259e-02 -4.667e-03 -1.215e-04
   -39.640  9.954e-01  6.952e-03 -4.725e-03  1.839e-05
   -38.438  1.000e+00  1.346e-03 -4.606e-03  1.707e-04
   -37.237  9.950e-01 -4.005e-03 -4.302e-03  3.252e-04
   -36.036  9.807e-01 -8.881e-03 -3.819e-03  4.697e-04
   -34.835  9.580e-01 -1.308e-02 -3.174e-03  5.922e-04
   -33.634  9.285e-01 -1.641e-02 -2.401e-03  6.816e-04
   -32.432  8.939e-01 -1.877e-02 -1.546e-03  7.299e-04
   -31.231  8.567e-01 -2.007e-02 -6.608e-04  7.328e-04
   -30.030  8.192e-01 -2.032e-02  2.000e-04  6.906e-04
   -28.829  7.835e-01 -1.958e-02  9.840e-04  6.074e-04
   -27.628  7.515e-01 -1.796e-02  1.646e-03  4.906e-04
   -26.426  7.246e-01 -1.563e-02  2.151e-03  3.496e-04
   -25.225  7.037e-01 -1.281e-02  2.477e-03  1.945e-04
   -24.024  6.890e-01 -9.710e-03  2.612e-03  3.514e-05
   -22.823  6.806e-01 -6.563e-03  2.556e-03 -1.195e-04
   -21.622  6.781e-01 -3.591e-03  2.321e-03 -2.613e-04
   -20.420  6.811e-01 -1.001e-03  1.926e-03 -3.832e-04
   -19.219  6.888e-01  1.031e-03  1.398e-03 -4.791e-04
   -18.018  7.001e-01  2.367e-03  7.734e-04 -5.435e-04
   -16.817  7.136e-01  2.914e-03  9.153e-05 -5.728e-04
   -15.616  7.278e-01  2.628e-03 -6.038e-04 -5.652e-04
   -14.414  7.408e-01  1.520e-03 -1.269e-03 -5.220e-04
   -13.213  7.508e-01 -3.495e-04 -1.863e-03 -4.475e-04
   -12.012  7.561e-01 -2.873e-03 -2.352e-03 -3.487e-04
   -10.811  7.556e-01 -5.909e-03 -2.712e-03 -2.348e-04
    -9.610  7.485e-01 -9.296e-03 -2.931e-03 -1.157e-04
    -8.408  7.349e-01 -1.286e-02 -3.009e-03 -6.843e-07
    -7.207  7.151e-01 -1.644e-02 -2.955e-03  1.030e-04
    -6.006  6.897e-01 -1.988e-02 -2.785e-03  1.906e-04
    -4.805  6.595e-01 -2.307e-02 -2.522e-03  2.600e-04
    -3.604  6.253e-01 -2.589e-02 -2.185e-03  3.113e-04
    -2.402  5.877e-01 -2.827e-02 -1.798e-03  3.456e-04
    -1.201  5.472e-01 -3.017e-02 -1.379e-03  3.646e-04
     0.000  5.046e-01 -3.156e-02 -9.462e-04  3.698e-04
     1.201  4.604e-01 -3.242e-02 -5.144e-04  3.627e-04
     2.402  4.155e-01 -3.277e-02 -9.819e-05  3.446e-04
     3.604  3.708e-01 -3.264e-02  2.904e-04  3.173e-04
     4.805  3.272e-01 -3.207e-02  6.416e-04  2.832e-04
     6.006  2.855e-01 -3.110e-02  9.489e-04  2.451e-04
     7.207  2.462e-01 -2.978e-02  1.209e-03  2.062e-04
     8.408  2.094e-01 -2.819e-02  1.424e-03  1.688e-04
     9.610  1.754e-01 -2.636e-02  1.595e-03  1.342e-04
    10.811  1.440e-01 -2.435e-02  1.726e-03  1.023e-04
    12.012  1.151e-01 -2.220e-02  1.820e-03  7.151e-05
    13.213  8.885e-02 -1.996e-02  1.877e-03  3.946e-05
    14.414  6.532e-02 -1.769e-02  1.894e-03  4.180e-06
    15.616  4.486e-02 -1.541e-02  1.866e-03 -3.509e-05
    16.817  2.779e-02 -1.320e-02  1.790e-03 -7.714e-05
    18.018  1.438e-02 -1.111e-02  1.664e-03 -1.187e-04
    19.219  4.606e-03 -9.207e-03  1.491e-03 -1.548e-04
    20.420 -1.851e-03 -7.532e-03  1.281e-03 -1.803e-04
    21.622 -5.674e-03 -6.124e-03  1.050e-03 -1.906e-04
    22.823 -7.787e-03 -4.997e-03  8.174e-04 -1.834e-04
    24.024 -9.184e-03 -4.139e-03  6.051e-04 -1.590e-04
    25.225 -1.073e-02 -3.515e-03  4.319e-04 -1.204e-04
    26.426 -1.299e-02 -3.069e-03  3.117e-04 -7.296e-05
    27.628 -1.619e-02 -2.732e-03  2.516e-04 -2.270e-05
    28.829 -2.021e-02 -2.431e-03  2.514e-04  2.456e-05
    30.030 -2.466e-02 -2.098e-03  3.047e-04  6.441e-05
    31.231 -2.908e-02 -1.673e-03  4.008e-04  9.441e-05
    32.432 -3.298e-02 -1.114e-03  5.275e-04  1.140e-04
    33.634 -3.597e-02 -3.897e-04  6.726e-04  1.242e-04
    34.835 -3.778e-02  5.143e-04  8.258e-04  1.265e-04
    36.036 -3.825e-02  1.603e-03  9.783e-04  1.223e-04
    37.237 -3.725e-02  2.870e-03  1.123e-03  1.124e-04
    38.438 -3.465e-02  4.304e-03  1.253e-03  9.675e-05
    39.640 -3.026e-02  5.880e-03  1.360e-03  7.490e-05
    40.841 -2.377e-02  7.569e-03  1.438e-03  4.636e-05
    42.042 -1.483e-02  9.330e-03  1.478e-03  1.132e-05
    43.243 -3.089e-03  1.111e-02  1.473e-03 -2.896e-05
    44.444  1.168e-02  1.286e-02  1.418e-03 -7.195e-05
    45.646  2.950e-02  1.451e-02  1.311e-03 -1.141e-04
    46.847  5.017e-02  1.600e-02  1.157e-03 -1.512e-04
    48.048  7.328e-02  1.729e-02  9.644e-04 -1.791e-04
    49.249  9.828e-02  1.833e-02  7.455e-04 -1.945e-04
    50.450  1.246e-01  1.909e-02  5.172e-04 -1.951e-04
    51.652  1.515e-01  1.959e-02  2.978e-04 -1.806e-04
    52.853  1.784e-01  1.984e-02  1.047e-04 -1.522e-04
    54.054  2.048e-01  1.987e-02 -4.737e-05 -1.134e-04
    55.255  2.302e-01  1.976e-02 -1.485e-04 -6.879e-05
    56.456  2.543e-01  1.956e-02 -1.951e-04 -2.421e-05
    57.658  2.769e-01  1.933e-02 -1.911e-04  1.435e-05
    58.859  2.984e-01  1.914e-02 -1.469e-04  4.156e-05
    60.060  3.190e-01  1.901e-02 -7.887e-05  5.363e-05
    61.261  3.394e-01  1.897e-02 -6.330e-06  4.899e-05
    62.462  3.602e-01  1.901e-02  5.081e-05  2.852e-05
    63.664  3.819e-01  1.910e-02  7.515e-05 -4.619e-06
    64.865  4.049e-01  1.919e-02  5.411e-05 -4.567e-05
    66.066  4.292e-01  1.923e-02 -1.870e-05 -8.923e-05
    67.267  4.544e-01  1.915e-02 -1.433e-04 -1.303e-04
    68.468  4.802e-01  1.889e-02 -3.143e-04 -1.650e-04
    69.670  5.059e-01  1.840e-02 -5.226e-04 -1.911e-04
    70.871  5.310e-01  1.765e-02 -7.577e-04 -2.081e-04
    72.072  5.548e-01  1.660e-02 -1.009e-03 -2.167e-04
    73.273  5.771e-01  1.524e-02 -1.267e-03 -2.181e-04
    74.474  5.975e-01  1.358e-02 -1.523e-03 -2.136e-04
    75.676  6.156e-01  1.161e-02 -1.773e-03 -2.040e-04
    76.877  6.311e-01  9.344e-03 -2.008e-03 -1.896e-04
    78.078  6.436e-01  6.810e-03 -2.224e-03 -1.698e-04
    79.279  6.528e-01  4.032e-03 -2.413e-03 -1.439e-04
    80.480  6.582e-01  1.047e-03 -2.568e-03 -1.110e-04
    81.682  6.594e-01 -2.099e-03 -2.679e-03 -7.059e-05
    82.883  6.561e-01 -5.349e-03 -2.738e-03 -2.265e-05
    84.084  6.481e-01 -8.633e-03 -2.736e-03  3.208e-05
    85.285  6.354e-01 -1.187e-02 -2.665e-03  9.201e-05
    86.486  6.178e-01 -1.499e-02 -2.521e-03  1.547e-04
    87.688  5.956e-01 -1.788e-02 -2.302e-03  2.167e-04
    88.889  5.688e-01 -2.047e-02 -2.011e-03  2.744e-04
    90.090  5.382e-01 -2.266e-02 -1.656e-03  3.234e-04
    91.291  5.041e-01 -2.440e-02 -1.250e-03  3.600e-04
    92.492  4.677e-01 -2.563e-02 -8.088e-04  3.812e-04
    93.694  4.298e-01 -2.632e-02 -3.531e-04  3.851e-04
    94.895  3.916e-01 -2.646e-02  9.638e-05  3.715e-04
    96.096  3.540e-01 -2.607e-02  5.193e-04  3.416e-04
    97.297  3.180e-01 -2.520e-02  8.978e-04  2.983e-04
    98.498  2.844e-01 -2.391e-02  1.218e-03  2.450e-04
    99.700  2.536e-01 -2.228e-02  1.470e-03  1.860e-04
   100.900  2.261e-01 -2.039e-02  1.649e-03  1.252e-04
   102.100  2.020e-01 -1.832e-02  1.756e-03  6.627e-05
   103.300  1.813e-01 -1.617e-02  1.795e-03  1.205e-05
   104.500  1.639e-01 -1.401e-02  1.773e-03 -3.537e-05
   105.710  1.497e-01 -1.190e-02  1.699e-03 -7.466e-05
   106.910  1.385e-01 -9.916e-03  1.584e-03 -1.052e-04
   108.110  1.300e-01 -8.088e-03  1.437e-03 -1.269e-04
   109.310  1.238e-01 -6.450e-03  1.270e-03 -1.400e-04
   110.510  1.195e-01 -5.020e-03  1.092e-03 -1.452e-04
   111.710  1.166e-01 -3.806e-03  9.128e-04 -1.432e-04
   112.910  1.142e-01 -2.805e-03  7.403e-04 -1.352e-04
