# x f gf ggf gggf
   -72.072  3.825e-03  4.619e-03  1.295e-03  2.485e-04
   -70.871  5.819e-03  6.370e-03  1.607e-03  2.562e-04
   -69.670  9.508e-03  8.499e-03  1.919e-03  2.454e-04
   -68.468  1.605e-02  1.099e-02  2.206e-03  2.146e-04
   -67.267  2.656e-02  1.380e-02  2.445e-03  1.647e-04
   -66.066  4.190e-02  1.686e-02  2.615e-03  9.948e-05
   -64.865  6.263e-02  2.008e-02  2.702e-03  2.462e-05
   -63.664  8.896e-02  2.334e-02  2.696e-03 -5.279e-05
   -62.462  1.208e-01  2.655e-02  2.601e-03 -1.255e-04
   -61.261  1.578e-01  2.959e-02  2.425e-03 -1.870e-04
   -60.060  1.993e-01  3.238e-02  2.184e-03 -2.331e-04
   -58.859  2.445e-01  3.485e-02  1.898e-03 -2.622e-04
   -57.658  2.927e-01  3.696e-02  1.587e-03 -2.760e-04
   -56.456  3.429e-01  3.869e-02  1.266e-03 -2.791e-04
   -55.255  3.942e-01  4.003e-02  9.446e-04 -2.788e-04
   -54.054  4.460e-01  4.099e-02  6.207e-04 -2.832e-04
   -52.853  4.980e-01  4.155e-02  2.843e-04 -2.997e-04
   -51.652  5.502e-01  4.169e-02 -8.235e-05 -3.333e-04
   -50.450  6.027e-01  4.136e-02 -5.007e-04 -3.843e-04
   -49.249  6.557e-01  4.049e-02 -9.894e-04 -4.482e-04
   -48.048  7.094e-01  3.898e-02 -1.559e-03 -5.150e-04
   -46.847  7.632e-01  3.674e-02 -2.204e-03 -5.712e-04
   -45.646  8.161e-01  3.368e-02 -2.903e-03 -6.015e-04
   -44.444  8.664e-01  2.978e-02 -3.616e-03 -5.922e-04
   -43.243  9.118e-01  2.504e-02 -4.291e-03 -5.336e-04
   -42.042  9.498e-01  1.954e-02 -4.863e-03 -4.224e-04
   -40.841  9.783e-01  1.345e-02 -5.273e-03 -2.628e-04
   -39.640  9.954e-01  6.985e-03 -5.468e-03 -6.588e-05
   -38.438  1.000e+00  4.402e-04 -5.412e-03  1.517e-04
   -37.237  9.921e-01 -5.879e-03 -5.093e-03  3.701e-04
   -36.036  9.724e-01 -1.166e-02 -4.522e-03  5.692e-04
   -34.835  9.425e-01 -1.662e-02 -3.733e-03  7.312e-04
   -33.634  9.048e-01 -2.053e-02 -2.779e-03  8.425e-04
   -32.432  8.618e-01 -2.322e-02 -1.727e-03  8.952e-04
   -31.231  8.164e-01 -2.462e-02 -6.493e-04  8.871e-04
   -30.030  7.711e-01 -2.476e-02  3.833e-04  8.215e-04
   -28.829  7.285e-01 -2.371e-02  1.305e-03  7.061e-04
   -27.628  6.905e-01 -2.164e-02  2.063e-03  5.518e-04
   -26.426  6.587e-01 -1.879e-02  2.618e-03  3.716e-04
   -25.225  6.342e-01 -1.540e-02  2.946e-03  1.792e-04
