# Velocity(km/s)  CCF
 -4.0000e+02  -2.6263e-02
 -3.9628e+02  -3.0412e-02
 -3.9256e+02  -3.4401e-02
 -3.8884e+02  -3.8259e-02
 -3.8512e+02  -4.2070e-02
 -3.8140e+02  -4.5920e-02
 -3.7767e+02  -4.9845e-02
 -3.7395e+02  -5.3784e-02
 -3.7023e+02  -5.7563e-02
 -3.6651e+02  -6.0897e-02
 -3.6279e+02  -6.3417e-02
 -3.5907e+02  -6.4711e-02
 -3.5535e+02  -6.4389e-02
 -3.5163e+02  -6.2161e-02
 -3.4791e+02  -5.7922e-02
 -3.4419e+02  -5.1802e-02
 -3.4047e+02  -4.4166e-02
 -3.3674e+02  -3.5537e-02
 -3.3302e+02  -2.6476e-02
 -3.2930e+02  -1.7457e-02
 -3.2558e+02  -8.8024e-03
 -3.2186e+02  -6.9539e-04
 -3.1814e+02   6.7400e-03
 -3.1442e+02   1.3349e-02
 -3.1070e+02   1.8900e-02
 -3.0698e+02   2.3114e-02
 -3.0326e+02   2.5744e-02
 -2.9953e+02   2.6670e-02
 -2.9581e+02   2.5964e-02
 -2.9209e+02   2.3894e-02
 -2.8837e+02   2.0883e-02
 -2.8465e+02   1.7434e-02
 -2.8093e+02   1.4038e-02
 -2.7721e+02   1.1080e-02
 -2.7349e+02   8.7457e-03
 -2.6977e+02   6.9616e-03
 -2.6605e+02   5.3885e-03
 -2.6233e+02   3.4917e-03
 -2.5860e+02   6.8989e-04
 -2.5488e+02  -3.4495e-03
 -2.5116e+02  -9.0297e-03
 -2.4744e+02  -1.5727e-02
 -2.4372e+02  -2.2828e-02
 -2.4000e+02  -2.9395e-02
 -2.3628e+02  -3.4523e-02
 -2.3256e+02  -3.7592e-02
 -2.2884e+02  -3.8406e-02
 -2.2512e+02  -3.7196e-02
 -2.2140e+02  -3.4457e-02
 -2.1767e+02  -3.0713e-02
 -2.1395e+02  -2.6303e-02
 -2.1023e+02  -2.1275e-02
 -2.0651e+02  -1.5430e-02
 -2.0279e+02  -8.4803e-03
 -1.9907e+02  -2.4410e-04
 -1.9535e+02   9.2094e-03
 -1.9163e+02   1.9519e-02
 -1.8791e+02   3.0094e-02
 -1.8419e+02   4.0244e-02
 -1.8047e+02   4.9301e-02
 -1.7674e+02   5.6723e-02
 -1.7302e+02   6.2139e-02
 -1.6930e+02   6.5365e-02
 -1.6558e+02   6.6410e-02
 -1.6186e+02   6.5465e-02
 -1.5814e+02   6.2876e-02
 -1.5442e+02   5.9088e-02
 -1.5070e+02   5.4559e-02
 -1.4698e+02   4.9683e-02
 -1.4326e+02   4.4751e-02
 -1.3953e+02   3.9987e-02
 -1.3581e+02   3.5635e-02
 -1.3209e+02   3.2065e-02
 -1.2837e+02   2.9811e-02
 -1.2465e+02   2.9494e-02
