# Velocity(km/s)  CCF
 -4.0000e+02   6.3979e-04
 -3.9810e+02   2.5270e-04
 -3.9619e+02  -7.2438e-04
 -3.9429e+02  -2.3769e-03
 -3.9238e+02  -4.6290e-03
 -3.9048e+02  -7.2211e-03
 -3.8857e+02  -9.7384e-03
 -3.8667e+02  -1.1684e-02
 -3.8476e+02  -1.2582e-02
 -3.8286e+02  -1.2095e-02
 -3.8095e+02  -1.0142e-02
 -3.7905e+02  -6.9809e-03
 -3.7714e+02  -3.2162e-03
 -3.7524e+02   3.1105e-04
 -3.7333e+02   2.7622e-03
 -3.7143e+02   3.6042e-03
 -3.6952e+02   2.8603e-03
 -3.6762e+02   1.1817e-03
 -3.6571e+02  -3.2315e-04
 -3.6381e+02  -4.5115e-04
 -3.6190e+02   1.6861e-03
 -3.6000e+02   6.3828e-03
 -3.5810e+02   1.3298e-02
 -3.5619e+02   2.1646e-02
 -3.5429e+02   3.0491e-02
 -3.5238e+02   3.9003e-02
 -3.5048e+02   4.6563e-02
 -3.4857e+02   5.2729e-02
 -3.4667e+02   5.7132e-02
 -3.4476e+02   5.9418e-02
 -3.4286e+02   5.9271e-02
 -3.4095e+02   5.6507e-02
 -3.3905e+02   5.1188e-02
 -3.3714e+02   4.3681e-02
 -3.3524e+02   3.4665e-02
 -3.3333e+02   2.5071e-02
 -3.3143e+02   1.5987e-02
 -3.2952e+02   8.5365e-03
 -3.2762e+02   3.7368e-03
 -3.2571e+02   2.3442e-03
 -3.2381e+02   4.7260e-03
 -3.2190e+02   1.0789e-02
 -3.2000e+02   2.0000e-02
 -3.1810e+02   3.1498e-02
 -3.1619e+02   4.4283e-02
 -3.1429e+02   5.7400e-02
 -3.1238e+02   7.0083e-02
 -3.1048e+02   8.1791e-02
 -3.0857e+02   9.2141e-02
 -3.0667e+02   1.0078e-01
 -3.0476e+02   1.0730e-01
 -3.0286e+02   1.1116e-01
 -3.0095e+02   1.1186e-01
 -2.9905e+02   1.0908e-01
 -2.9714e+02   1.0294e-01
 -2.9524e+02   9.4040e-02
 -2.9333e+02   8.3479e-02
 -2.9143e+02   7.2573e-02
 -2.8952e+02   6.2507e-02
 -2.8762e+02   5.3987e-02
 -2.8571e+02   4.7027e-02
 -2.8381e+02   4.0984e-02
 -2.8190e+02   3.4829e-02
 -2.8000e+02   2.7570e-02
 -2.7810e+02   1.8658e-02
 -2.7619e+02   8.2352e-03
 -2.7429e+02  -2.9032e-03
 -2.7238e+02  -1.3589e-02
 -2.7048e+02  -2.2707e-02
 -2.6857e+02  -2.9568e-02
 -2.6667e+02  -3.4099e-02
 -2.6476e+02  -3.6755e-02
 -2.6286e+02  -3.8249e-02
 -2.6095e+02  -3.9197e-02
 -2.5905e+02  -3.9865e-02
 -2.5714e+02  -4.0107e-02
 -2.5524e+02  -3.9512e-02
