# Velocity(km/s)  CCF
 -4.0000e+02  -2.2532e-02
 -3.9880e+02  -1.8442e-02
 -3.9760e+02  -1.1906e-02
 -3.9640e+02  -3.5691e-03
 -3.9520e+02   5.5351e-03
 -3.9399e+02   1.4164e-02
 -3.9279e+02   2.1083e-02
 -3.9159e+02   2.5280e-02
 -3.9039e+02   2.6126e-02
 -3.8919e+02   2.3475e-02
 -3.8799e+02   1.7685e-02
 -3.8679e+02   9.5614e-03
 -3.8559e+02   2.4138e-04
 -3.8438e+02  -8.9792e-03
 -3.8318e+02  -1.6849e-02
 -3.8198e+02  -2.2368e-02
 -3.8078e+02  -2.4965e-02
 -3.7958e+02  -2.4599e-02
 -3.7838e+02  -2.1762e-02
 -3.7718e+02  -1.7347e-02
 -3.7598e+02  -1.2429e-02
 -3.7477e+02  -7.9855e-03
 -3.7357e+02  -4.6681e-03
 -3.7237e+02  -2.6794e-03
 -3.7117e+02  -1.8010e-03
 -3.6997e+02  -1.5457e-03
 -3.6877e+02  -1.3662e-03
 -3.6757e+02  -8.3868e-04
 -3.6637e+02   2.3771e-04
 -3.6517e+02   1.8385e-03
 -3.6396e+02   3.7828e-03
 -3.6276e+02   5.8264e-03
 -3.6156e+02   7.7416e-03
 -3.6036e+02   9.3619e-03
 -3.5916e+02   1.0597e-02
 -3.5796e+02   1.1427e-02
 -3.5676e+02   1.1897e-02
 -3.5556e+02   1.2106e-02
 -3.5435e+02   1.2195e-02
 -3.5315e+02   1.2325e-02
 -3.5195e+02   1.2643e-02
 -3.5075e+02   1.3228e-02
 -3.4955e+02   1.4065e-02
 -3.4835e+02   1.5025e-02
 -3.4715e+02   1.5904e-02
 -3.4595e+02   1.6474e-02
 -3.4474e+02   1.6547e-02
 -3.4354e+02   1.6008e-02
 -3.4234e+02   1.4804e-02
 -3.4114e+02   1.2914e-02
 -3.3994e+02   1.0303e-02
 -3.3874e+02   6.9140e-03
 -3.3754e+02   2.6982e-03
 -3.3634e+02  -2.3275e-03
 -3.3514e+02  -8.0169e-03
 -3.3393e+02  -1.4060e-02
 -3.3273e+02  -1.9997e-02
 -3.3153e+02  -2.5286e-02
 -3.3033e+02  -2.9416e-02
 -3.2913e+02  -3.2034e-02
 -3.2793e+02  -3.3045e-02
 -3.2673e+02  -3.2644e-02
 -3.2553e+02  -3.1258e-02
 -3.2432e+02  -2.9402e-02
 -3.2312e+02  -2.7495e-02
 -3.2192e+02  -2.5709e-02
 -3.2072e+02  -2.3909e-02
 -3.1952e+02  -2.1707e-02
 -3.1832e+02  -1.8614e-02
 -3.1712e+02  -1.4219e-02
 -3.1592e+02  -8.3425e-03
 -3.1471e+02  -1.0956e-03
 -3.1351e+02   7.1385e-03
 -3.1231e+02   1.5797e-02
 -3.1111e+02   2.4251e-02
 -3.0991e+02   3.1902e-02
 -3.0871e+02   3.8247e-02
 -3.0751e+02   4.2913e-02
 -3.0631e+02   4.5668e-02
 -3.0511e+02   4.6429e-02
 -3.0390e+02   4.5275e-02
 -3.0270e+02   4.2449e-02
 -3.0150e+02   3.8351e-02
 -3.0030e+02   3.3503e-02
 -2.9910e+02   2.8473e-02
 -2.9790e+02   2.3788e-02
 -2.9670e+02   1.9832e-02
 -2.9550e+02   1.6772e-02
 -2.9429e+02   1.4549e-02
 -2.9309e+02   1.2921e-02
 -2.9189e+02   1.1582e-02
 -2.9069e+02   1.0279e-02
 -2.8949e+02   8.9078e-03
 -2.8829e+02   7.5428e-03
 -2.8709e+02   6.3897e-03
 -2.8589e+02   5.6977e-03
 -2.8468e+02   5.6746e-03
 -2.8348e+02   6.4475e-03
 -2.8228e+02   8.0799e-03
 -2.8108e+02   1.0624e-02
 -2.7988e+02   1.4161e-02
 -2.7868e+02   1.8793e-02
 -2.7748e+02   2.4568e-02
 -2.7628e+02   3.1378e-02
 -2.7508e+02   3.8866e-02
 -2.7387e+02   4.6419e-02
 -2.7267e+02   5.3247e-02
 -2.7147e+02   5.8558e-02
 -2.7027e+02   6.1753e-02
 -2.6907e+02   6.2576e-02
 -2.6787e+02   6.1160e-02
 -2.6667e+02   5.7953e-02
 -2.6547e+02   5.3552e-02
 -2.6426e+02   4.8518e-02
 -2.6306e+02   4.3245e-02
 -2.6186e+02   3.7940e-02
 -2.6066e+02   3.2699e-02
 -2.5946e+02   2.7630e-02
 -2.5826e+02   2.2950e-02
 -2.5706e+02   1.8995e-02
 -2.5586e+02   1.6145e-02
 -2.5465e+02   1.4691e-02
 -2.5345e+02   1.4733e-02
 -2.5225e+02   1.6133e-02
 -2.5105e+02   1.8561e-02
 -2.4985e+02   2.1584e-02
 -2.4865e+02   2.4771e-02
 -2.4745e+02   2.7761e-02
 -2.4625e+02   3.0282e-02
 -2.4505e+02   3.2148e-02
 -2.4384e+02   3.3226e-02
 -2.4264e+02   3.3411e-02
 -2.4144e+02   3.2618e-02
 -2.4024e+02   3.0774e-02
 -2.3904e+02   2.7840e-02
 -2.3784e+02   2.3842e-02
 -2.3664e+02   1.8915e-02
 -2.3544e+02   1.3339e-02
 -2.3423e+02   7.5422e-03
 -2.3303e+02   2.0527e-03
 -2.3183e+02  -2.6018e-03
 -2.3063e+02  -6.0058e-03
 -2.2943e+02  -7.9383e-03
 -2.2823e+02  -8.3850e-03
 -2.2703e+02  -7.4772e-03
 -2.2583e+02  -5.3876e-03
 -2.2462e+02  -2.2394e-03
 -2.2342e+02   1.9240e-03
 -2.2222e+02   7.0894e-03
 -2.2102e+02   1.3170e-02
 -2.1982e+02   1.9899e-02
 -2.1862e+02   2.6777e-02
 -2.1742e+02   3.3108e-02
 -2.1622e+02   3.8110e-02
 -2.1502e+02   4.1068e-02
 -2.1381e+02   4.1471e-02
 -2.1261e+02   3.9108e-02
 -2.1141e+02   3.4089e-02
 -2.1021e+02   2.6827e-02
 -2.0901e+02   1.7972e-02
 -2.0781e+02   8.3410e-03
 -2.0661e+02  -1.1899e-03
 -2.0541e+02  -9.7998e-03
 -2.0420e+02  -1.6856e-02
 -2.0300e+02  -2.2028e-02
 -2.0180e+02  -2.5347e-02
 -2.0060e+02  -2.7184e-02
 -1.9940e+02  -2.8119e-02
 -1.9820e+02  -2.8757e-02
 -1.9700e+02  -2.9525e-02
 -1.9580e+02  -3.0524e-02
 -1.9459e+02  -3.1486e-02
 -1.9339e+02  -3.1848e-02
 -1.9219e+02  -3.0921e-02
 -1.9099e+02  -2.8093e-02
 -1.8979e+02  -2.3028e-02
 -1.8859e+02  -1.5794e-02
 -1.8739e+02  -6.9004e-03
 -1.8619e+02   2.7704e-03
 -1.8498e+02   1.2115e-02
 -1.8378e+02   2.0024e-02
 -1.8258e+02   2.5609e-02
 -1.8138e+02   2.8387e-02
 -1.8018e+02   2.8362e-02
 -1.7898e+02   2.5999e-02
 -1.7778e+02   2.2083e-02
 -1.7658e+02   1.7512e-02
 -1.7538e+02   1.3100e-02
 -1.7417e+02   9.4390e-03
 -1.7297e+02   6.8458e-03
 -1.7177e+02   5.3963e-03
 -1.7057e+02   5.0024e-03
 -1.6937e+02   5.4942e-03
 -1.6817e+02   6.6770e-03
 -1.6697e+02   8.3542e-03
 -1.6577e+02   1.0327e-02
 -1.6456e+02   1.2386e-02
 -1.6336e+02   1.4308e-02
 -1.6216e+02   1.5878e-02
 -1.6096e+02   1.6921e-02
 -1.5976e+02   1.7347e-02
 -1.5856e+02   1.7193e-02
 -1.5736e+02   1.6631e-02
 -1.5616e+02   1.5931e-02
 -1.5495e+02   1.5384e-02
 -1.5375e+02   1.5201e-02
 -1.5255e+02   1.5423e-02
 -1.5135e+02   1.5896e-02
 -1.5015e+02   1.6322e-02
 -1.4895e+02   1.6378e-02
 -1.4775e+02   1.5869e-02
 -1.4655e+02   1.4835e-02
 -1.4535e+02   1.3574e-02
 -1.4414e+02   1.2552e-02
 -1.4294e+02   1.2229e-02
 -1.4174e+02   1.2870e-02
 -1.4054e+02   1.4419e-02
 -1.3934e+02   1.6480e-02
 -1.3814e+02   1.8417e-02
 -1.3694e+02   1.9545e-02
 -1.3574e+02   1.9329e-02
 -1.3453e+02   1.7530e-02
 -1.3333e+02   1.4267e-02
 -1.3213e+02   9.9754e-03
 -1.3093e+02   5.2907e-03
 -1.2973e+02   9.0383e-04
 -1.2853e+02  -2.5846e-03
 -1.2733e+02  -4.7733e-03
 -1.2613e+02  -5.5203e-03
 -1.2492e+02  -4.9466e-03
 -1.2372e+02  -3.3887e-03
 -1.2252e+02  -1.3109e-03
 -1.2132e+02   8.0316e-04
 -1.2012e+02   2.5552e-03
 -1.1892e+02   3.7103e-03
 -1.1772e+02   4.2310e-03
 -1.1652e+02   4.2606e-03
 -1.1532e+02   4.0638e-03
 -1.1411e+02   3.9413e-03
 -1.1291e+02   4.1426e-03
 -1.1171e+02   4.8027e-03
 -1.1051e+02   5.9199e-03
 -1.0931e+02   7.3805e-03
 -1.0811e+02   9.0181e-03
 -1.0691e+02   1.0681e-02
 -1.0571e+02   1.2270e-02
 -1.0450e+02   1.3737e-02
 -1.0330e+02   1.5021e-02
 -1.0210e+02   1.5980e-02
 -1.0090e+02   1.6342e-02
 -9.9700e+01   1.5724e-02
 -9.8498e+01   1.3734e-02
 -9.7297e+01   1.0116e-02
 -9.6096e+01   4.8956e-03
 -9.4895e+01  -1.5599e-03
 -9.3694e+01  -8.5822e-03
 -9.2492e+01  -1.5349e-02
 -9.1291e+01  -2.1083e-02
 -9.0090e+01  -2.5226e-02
 -8.8889e+01  -2.7543e-02
 -8.7688e+01  -2.8118e-02
 -8.6486e+01  -2.7267e-02
 -8.5285e+01  -2.5402e-02
 -8.4084e+01  -2.2898e-02
 -8.2883e+01  -2.0020e-02
 -8.1682e+01  -1.6904e-02
 -8.0480e+01  -1.3609e-02
 -7.9279e+01  -1.0201e-02
 -7.8078e+01  -6.8156e-03
 -7.6877e+01  -3.6728e-03
 -7.5676e+01  -1.0167e-03
 -7.4474e+01   1.0047e-03
 -7.3273e+01   2.4781e-03
 -7.2072e+01   3.8249e-03
 -7.0871e+01   5.8192e-03
 -6.9670e+01   9.5078e-03
 -6.8468e+01   1.6055e-02
 -6.7267e+01   2.6559e-02
 -6.6066e+01   4.1897e-02
 -6.4865e+01   6.2628e-02
 -6.3664e+01   8.8964e-02
 -6.2462e+01   1.2080e-01
 -6.1261e+01   1.5776e-01
 -6.0060e+01   1.9926e-01
 -5.8859e+01   2.4453e-01
 -5.7658e+01   2.9270e-01
 -5.6456e+01   3.4286e-01
 -5.5255e+01   3.9418e-01
 -5.4054e+01   4.4602e-01
 -5.2853e+01   4.9803e-01
 -5.1652e+01   5.5018e-01
 -5.0450e+01   6.0266e-01
 -4.9249e+01   6.5572e-01
 -4.8048e+01   7.0939e-01
 -4.6847e+01   7.6321e-01
 -4.5646e+01   8.1612e-01
 -4.4444e+01   8.6638e-01
 -4.3243e+01   9.1176e-01
 -4.2042e+01   9.4982e-01
 -4.0841e+01   9.7829e-01
 -3.9640e+01   9.9536e-01
 -3.8438e+01   1.0000e+00
 -3.7237e+01   9.9208e-01
 -3.6036e+01   9.7238e-01
 -3.4835e+01   9.4254e-01
 -3.3634e+01   9.0480e-01
 -3.2432e+01   8.6182e-01
 -3.1231e+01   8.1637e-01
 -3.0030e+01   7.7113e-01
 -2.8829e+01   7.2851e-01
 -2.7628e+01   6.9052e-01
 -2.6426e+01   6.5872e-01
 -2.5225e+01   6.3417e-01
 -2.4024e+01   6.1739e-01
 -2.2823e+01   6.0835e-01
 -2.1622e+01   6.0648e-01
 -2.0420e+01   6.1071e-01
 -1.9219e+01   6.1963e-01
 -1.8018e+01   6.3157e-01
 -1.6817e+01   6.4478e-01
 -1.5616e+01   6.5753e-01
 -1.4414e+01   6.6824e-01
 -1.3213e+01   6.7553e-01
 -1.2012e+01   6.7833e-01
 -1.0811e+01   6.7587e-01
 -9.6096e+00   6.6778e-01
 -8.4084e+00   6.5405e-01
 -7.2072e+00   6.3504e-01
 -6.0060e+00   6.1130e-01
 -4.8048e+00   5.8358e-01
 -3.6036e+00   5.5259e-01
 -2.4024e+00   5.1902e-01
 -1.2012e+00   4.8344e-01
  0.0000e+00   4.4636e-01
  1.2012e+00   4.0825e-01
  2.4024e+00   3.6964e-01
  3.6036e+00   3.3109e-01
  4.8048e+00   2.9326e-01
  6.0060e+00   2.5684e-01
  7.2072e+00   2.2251e-01
  8.4084e+00   1.9092e-01
  9.6096e+00   1.6261e-01
  1.0811e+01   1.3799e-01
  1.2012e+01   1.1729e-01
  1.3213e+01   1.0052e-01
  1.4414e+01   8.7447e-02
  1.5616e+01   7.7591e-02
  1.6817e+01   7.0292e-02
  1.8018e+01   6.4787e-02
  1.9219e+01   6.0319e-02
  2.0420e+01   5.6230e-02
  2.1622e+01   5.2029e-02
  2.2823e+01   4.7400e-02
  2.4024e+01   4.2183e-02
  2.5225e+01   3.6335e-02
  2.6426e+01   2.9898e-02
  2.7628e+01   2.3006e-02
  2.8829e+01   1.5907e-02
  3.0030e+01   8.9986e-03
  3.1231e+01   2.8498e-03
  3.2432e+01  -1.8302e-03
  3.3634e+01  -4.2748e-03
  3.4835e+01  -3.7954e-03
  3.6036e+01   5.9803e-05
  3.7237e+01   7.3657e-03
  3.8438e+01   1.7742e-02
  3.9640e+01   3.0368e-02
  4.0841e+01   4.4104e-02
  4.2042e+01   5.7695e-02
  4.3243e+01   7.0010e-02
  4.4444e+01   8.0276e-02
  4.5646e+01   8.8233e-02
  4.6847e+01   9.4182e-02
  4.8048e+01   9.8922e-02
  4.9249e+01   1.0359e-01
  5.0450e+01   1.0947e-01
  5.1652e+01   1.1774e-01
  5.2853e+01   1.2930e-01
  5.4054e+01   1.4466e-01
  5.5255e+01   1.6384e-01
  5.6456e+01   1.8641e-01
  5.7658e+01   2.1157e-01
  5.8859e+01   2.3836e-01
  6.0060e+01   2.6585e-01
  6.1261e+01   2.9336e-01
  6.2462e+01   3.2058e-01
  6.3664e+01   3.4762e-01
  6.4865e+01   3.7489e-01
  6.6066e+01   4.0293e-01
  6.7267e+01   4.3218e-01
  6.8468e+01   4.6270e-01
  6.9670e+01   4.9408e-01
  7.0871e+01   5.2536e-01
  7.2072e+01   5.5522e-01
  7.3273e+01   5.8212e-01
  7.4474e+01   6.0466e-01
  7.5676e+01   6.2182e-01
  7.6877e+01   6.3308e-01
  7.8078e+01   6.3852e-01
  7.9279e+01   6.3863e-01
  8.0480e+01   6.3421e-01
  8.1682e+01   6.2608e-01
  8.2883e+01   6.1493e-01
  8.4084e+01   6.0118e-01
  8.5285e+01   5.8501e-01
  8.6486e+01   5.6642e-01
  8.7688e+01   5.4535e-01
  8.8889e+01   5.2188e-01
  9.0090e+01   4.9629e-01
  9.1291e+01   4.6911e-01
  9.2492e+01   4.4102e-01
  9.3694e+01   4.1271e-01
  9.4895e+01   3.8465e-01
  9.6096e+01   3.5702e-01
  9.7297e+01   3.2965e-01
  9.8498e+01   3.0220e-01
  9.9700e+01   2.7428e-01
  1.0090e+02   2.4575e-01
  1.0210e+02   2.1681e-01
  1.0330e+02   1.8804e-01
  1.0450e+02   1.6031e-01
  1.0571e+02   1.3459e-01
  1.0691e+02   1.1174e-01
  1.0811e+02   9.2341e-02
  1.0931e+02   7.6617e-02
  1.1051e+02   6.4465e-02
  1.1171e+02   5.5571e-02
  1.1291e+02   4.9552e-02
  1.1411e+02   4.6065e-02
  1.1532e+02   4.4834e-02
  1.1652e+02   4.5603e-02
  1.1772e+02   4.8036e-02
  1.1892e+02   5.1645e-02
  1.2012e+02   5.5782e-02
  1.2132e+02   5.9723e-02
  1.2252e+02   6.2809e-02
  1.2372e+02   6.4591e-02
  1.2492e+02   6.4910e-02
  1.2613e+02   6.3904e-02
  1.2733e+02   6.1922e-02
  1.2853e+02   5.9400e-02
  1.2973e+02   5.6727e-02
  1.3093e+02   5.4137e-02
  1.3213e+02   5.1662e-02
  1.3333e+02   4.9129e-02
  1.3453e+02   4.6232e-02
  1.3574e+02   4.2629e-02
  1.3694e+02   3.8075e-02
  1.3814e+02   3.2532e-02
  1.3934e+02   2.6231e-02
  1.4054e+02   1.9670e-02
  1.4174e+02   1.3536e-02
  1.4294e+02   8.5725e-03
  1.4414e+02   5.4252e-03
  1.4535e+02   4.5151e-03
  1.4655e+02   5.9675e-03
  1.4775e+02   9.6139e-03
  1.4895e+02   1.5056e-02
  1.5015e+02   2.1761e-02
  1.5135e+02   2.9147e-02
  1.5255e+02   3.6638e-02
  1.5375e+02   4.3680e-02
  1.5495e+02   4.9733e-02
  1.5616e+02   5.4276e-02
  1.5736e+02   5.6847e-02
  1.5856e+02   5.7098e-02
  1.5976e+02   5.4870e-02
  1.6096e+02   5.0232e-02
  1.6216e+02   4.3480e-02
  1.6336e+02   3.5079e-02
  1.6456e+02   2.5589e-02
  1.6577e+02   1.5590e-02
  1.6697e+02   5.6338e-03
  1.6817e+02  -3.7675e-03
  1.6937e+02  -1.2147e-02
  1.7057e+02  -1.9101e-02
  1.7177e+02  -2.4342e-02
  1.7297e+02  -2.7778e-02
  1.7417e+02  -2.9577e-02
  1.7538e+02  -3.0188e-02
  1.7658e+02  -3.0265e-02
  1.7778e+02  -3.0530e-02
  1.7898e+02  -3.1598e-02
  1.8018e+02  -3.3831e-02
  1.8138e+02  -3.7281e-02
  1.8258e+02  -4.1739e-02
  1.8378e+02  -4.6850e-02
  1.8498e+02  -5.2259e-02
  1.8619e+02  -5.7719e-02
  1.8739e+02  -6.3114e-02
  1.8859e+02  -6.8405e-02
  1.8979e+02  -7.3522e-02
  1.9099e+02  -7.8246e-02
  1.9219e+02  -8.2159e-02
  1.9339e+02  -8.4667e-02
  1.9459e+02  -8.5141e-02
  1.9580e+02  -8.3105e-02
  1.9700e+02  -7.8433e-02
  1.9820e+02  -7.1471e-02
  1.9940e+02  -6.3014e-02
  2.0060e+02  -5.4151e-02
  2.0180e+02  -4.5996e-02
  2.0300e+02  -3.9403e-02
  2.0420e+02  -3.4756e-02
  2.0541e+02  -3.1906e-02
